YEAR,ORIGIN_NAME,RUN_TYPE_NAME,SPECIES_NAME,RETURNS_FORECASTS_STOCK_NAME,IS_UPRIVER,FISH_ORIGIN_NAME,FIN_CLIP_NAME,COUNT,RETURNS_FORECASTS_COUNT_TYPE_NAME,RETURNS_FORECASTS_SOURCE_NAME,COMMENT,CREATED_BY,CREATED_DATETIME,LAST_MODIFIED_DATETIME,LAST_MODIFIED_BY
1985,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,10290,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1985,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,92284,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1986,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,7903,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1986,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,128314,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1987,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,8777,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1987,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,110772,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1988,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,7503,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1988,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,106003,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1989,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,7455,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1989,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,90031,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1990,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,4437,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1990,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,105715,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1991,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,2437,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1991,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,64479,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1992,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,4261,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1992,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,95691,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1993,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,4050,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1993,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,119963,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1994,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,1044,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1994,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,24095,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1995,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,224,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1995,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,12792,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1996,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,575,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1996,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,55552,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1997,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,1222,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1997,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,124321,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1998,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,547,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1998,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,44308,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1999,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,401,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1999,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,43067,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2000,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,1367,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2000,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,186715,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2001,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,6252,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2001,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,440336,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2002,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,2992,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2002,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,335214,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2003,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,2198,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2003,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,242605,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2004,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,2308,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2004,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,221675,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2005,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,2807,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2005,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,106911,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2006,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,1462,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2006,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,132583,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2007,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,458,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2007,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,86247,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2008,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,829,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2008,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,178629,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2009,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,1086,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2009,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,169296,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2010,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,3101,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2010,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,315345,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2011,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,2640,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2011,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,221158,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2012,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,5374,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2012,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,203090,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2013,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,3090,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2013,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,123136,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2014,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,5683,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2014,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,242577,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2015,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,5800,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2015,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,289000,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2016,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,1700,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2016,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,187800,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2017,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,2514,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2017,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,115821,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2018,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,1977,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2018,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,115081,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2019,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,1668,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2019,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,73101,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2020,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,2189,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2020,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,81300,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2021,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,3190,Actual,TAC,,ASMITH,12/21/2021 16:06,5/6/2022 18:21,Timothy.Sippel@dfw.wa.gov
2021,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,91756,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1980,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,22498,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1981,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,18746,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1982,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,14369,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1983,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,13145,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1984,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,18765,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1985,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,18522,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1986,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,18752,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1987,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,22715,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1988,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,22720,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1989,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,22201,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1990,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,18794,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1991,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,14323,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1992,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,9428,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1993,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,14021,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1994,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,14691,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1995,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,12455,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1996,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,12080,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1997,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,17709,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1998,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,15536,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1999,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,21867,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2000,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,22595,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2001,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,52960,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2002,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,89524,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2003,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,83058,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2004,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,65623,Actual,,Actual: June 16 - July 31,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2005,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,60272,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2006,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,77573,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2007,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,37035,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2008,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,55532,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2009,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,53881,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
2010,Columbia River Mouth,Summer,Chinook,Upper Columbia Summer Chinook,TRUE,Total,,72346,Actual,,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
